"filename", "language", "C#", "XML", "MS SQL", "JSON", "comment", "blank", "total"
"c:\Users\Home\Desktop\Ecole\ESILV\Semestre 4\PSI\PSI_DENNERY_DEGIOANNI_DEPARCEVAUX\PSI_RENDU1\BDD.sql", "MS SQL", 0, 0, 206, 0, 2, 27, 235
"c:\Users\Home\Desktop\Ecole\ESILV\Semestre 4\PSI\PSI_DENNERY_DEGIOANNI_DEPARCEVAUX\PSI_RENDU1\Database.cs", "C#", 1206, 0, 0, 0, 17, 190, 1413
"c:\Users\Home\Desktop\Ecole\ESILV\Semestre 4\PSI\PSI_DENNERY_DEGIOANNI_DEPARCEVAUX\PSI_RENDU1\GraphColoring.cs", "C#", 38, 0, 0, 0, 4, 13, 55
"c:\Users\Home\Desktop\Ecole\ESILV\Semestre 4\PSI\PSI_DENNERY_DEGIOANNI_DEPARCEVAUX\PSI_RENDU1\Graphe.cs", "C#", 430, 0, 0, 0, 63, 93, 586
"c:\Users\Home\Desktop\Ecole\ESILV\Semestre 4\PSI\PSI_DENNERY_DEGIOANNI_DEPARCEVAUX\PSI_RENDU1\GrapheExporter.cs", "C#", 38, 0, 0, 0, 10, 9, 57
"c:\Users\Home\Desktop\Ecole\ESILV\Semestre 4\PSI\PSI_DENNERY_DEGIOANNI_DEPARCEVAUX\PSI_RENDU1\GrapheRelations.cs", "C#", 28, 0, 0, 0, 5, 7, 40
"c:\Users\Home\Desktop\Ecole\ESILV\Semestre 4\PSI\PSI_DENNERY_DEGIOANNI_DEPARCEVAUX\PSI_RENDU1\GrapheVisualisation.cs", "C#", 120, 0, 0, 0, 16, 16, 152
"c:\Users\Home\Desktop\Ecole\ESILV\Semestre 4\PSI\PSI_DENNERY_DEGIOANNI_DEPARCEVAUX\PSI_RENDU1\LecteurExcel.cs", "C#", 91, 0, 0, 0, 15, 22, 128
"c:\Users\Home\Desktop\Ecole\ESILV\Semestre 4\PSI\PSI_DENNERY_DEGIOANNI_DEPARCEVAUX\PSI_RENDU1\Lien.cs", "C#", 22, 0, 0, 0, 0, 7, 29
"c:\Users\Home\Desktop\Ecole\ESILV\Semestre 4\PSI\PSI_DENNERY_DEGIOANNI_DEPARCEVAUX\PSI_RENDU1\Noeud.cs", "C#", 28, 0, 0, 0, 0, 4, 32
"c:\Users\Home\Desktop\Ecole\ESILV\Semestre 4\PSI\PSI_DENNERY_DEGIOANNI_DEPARCEVAUX\PSI_RENDU1\PSI_RENDU1.csproj", "XML", 0, 12, 0, 0, 0, 4, 16
"c:\Users\Home\Desktop\Ecole\ESILV\Semestre 4\PSI\PSI_DENNERY_DEGIOANNI_DEPARCEVAUX\PSI_RENDU1\Program.cs", "C#", 477, 0, 0, 0, 31, 40, 548
"c:\Users\Home\Desktop\Ecole\ESILV\Semestre 4\PSI\PSI_DENNERY_DEGIOANNI_DEPARCEVAUX\PSI_RENDU1\noeuds.json", "JSON", 0, 0, 0, 1662, 0, 0, 1662
"c:\Users\Home\Desktop\Ecole\ESILV\Semestre 4\PSI\PSI_DENNERY_DEGIOANNI_DEPARCEVAUX\PSI_RENDU1\noeuds.xml", "XML", 0, 1331, 0, 0, 0, 0, 1331
"c:\Users\Home\Desktop\Ecole\ESILV\Semestre 4\PSI\PSI_DENNERY_DEGIOANNI_DEPARCEVAUX\UnitTestProject1\Properties\AssemblyInfo.cs", "C#", 15, 0, 0, 0, 1, 5, 21
"c:\Users\Home\Desktop\Ecole\ESILV\Semestre 4\PSI\PSI_DENNERY_DEGIOANNI_DEPARCEVAUX\UnitTestProject1\UnitTest1.cs", "C#", 37, 0, 0, 0, 3, 6, 46
"c:\Users\Home\Desktop\Ecole\ESILV\Semestre 4\PSI\PSI_DENNERY_DEGIOANNI_DEPARCEVAUX\UnitTestProject1\UnitTestProject1.csproj", "XML", 0, 74, 0, 0, 0, 0, 74
"Total", "-", 2530, 1417, 206, 1662, 167, 443, 6425
